eccentricity_deg,dendritic_field_diameter_min,cell_type
50.21092290689468,72.72773524051122,parasol
45.596768527120105,134.9778372030741,parasol
49.96798451124051,148.18700535893586,parasol
51.73811393102158,134.82287610748023,parasol
50.3055392610894,134.85729652498563,parasol
47.53553381548478,115.32308296936364,parasol
49.57571404662617,111.71563689692256,parasol
55.112340727094704,134.74546228602034,parasol
56.67818380600381,131.92060365150886,parasol
62.52135483453146,125.08290852219882,parasol
67.54477384274878,127.63910749443734,parasol
81.05404652782742,119.67162450921953,parasol
71.41009263671992,107.9038097028944,parasol
72.41281243188915,104.55513372652122,parasol
59.08247262999517,109.22710503204178,parasol
54.7093536140905,121.3636357862469,parasol
57.05014540254549,112.74699769329877,parasol
59.483497582393554,100.44771903989236,parasol
57.03376426585632,102.61173453014676,parasol
59.05043230401477,91.42391977092998,parasol
56.60769543690365,87.70913255139301,parasol
52.03612885694652,88.69981814197143,parasol
50.23656397902779,85.9855197604207,parasol
48.16304026805633,85.12287527077166,parasol
46.50928920889342,89.72459458354173,parasol
46.8503799933732,98.58066565377771,parasol
45.88282779775868,104.98974091358154,parasol
49.561479086442745,101.67308673989317,parasol
50.603375221788205,93.48893962206364,parasol
53.15378735911136,94.43034025552078,parasol
52.06768597711744,108.21412998491934,parasol
54.30064921719232,103.7376404057137,parasol
72.87408241147439,83.920052429772,parasol
70.36510416080918,85.72253009597388,parasol
61.14426089697257,84.0540476685592,parasol
67.92516603667987,80.53072082135876,parasol
67.42203589705899,70.2910499479671,parasol
63.72783260606791,66.04649611089,parasol
61.94548319960752,60.1246674094898,parasol
54.60819685820807,66.13928895616178,parasol
65.56564939900015,74.08623672755253,parasol
64.66599718913892,79.72788911082117,parasol
58.20673709154927,81.49231480434935,parasol
53.11818201897336,75.79833303137684,parasol
43.56714631544603,44.0634604685188,parasol
45.76877352295355,46.40996445861328,parasol
45.16525511985862,59.66979588779244,parasol
0.3698279909693938,2.0128731791284165,midget
0.6133184645514654,2.2956737819304154,midget
0.6132010551578623,2.1559476087121388,midget
0.6129076299970855,1.8427154385265363,midget
0.6127511939935437,1.694710990368494,midget
0.8525335026218188,1.8760581990130747,midget
1.1221580907384725,2.6158685696711883,midget
1.1215853338803132,2.2125376143459885,midget
1.1132420895240769,1.91110160913312,midget
1.4034488385872266,1.9070811318097944,midget
1.3918092657009684,1.241762137232444,midget
1.6481542926116242,1.4968874861189614,midget
1.6831781942227286,1.481019180005681,midget
1.671723880713644,1.5771041324941923,midget
1.6603475157535703,1.6794228449632358,midget
1.9901374335244577,1.0802783088574597,midget
1.991662075038324,1.3887483037001762,midget
1.9368240011711664,1.46373024245733,midget
1.923520827408234,1.526406039273132,midget
1.8969458421981733,1.5918671503473392,midget
1.978676625133232,1.624917011471121,midget
1.9789291880926043,1.694386566759533,midget
1.9109186764207264,1.7673899902707857,midget
1.9797502403737213,1.941340751140518,midget
2.529678474287145,1.604411688259832,midget
2.9948329732226986,1.778705028403063,midget
3.236388853673457,1.9943330087877853,midget
3.3497559316147507,1.6003213545526749,midget
3.3692657551816283,1.0751201450646075,midget
3.7009950614920246,2.5607015838370804,midget
4.083978016689756,2.7242246960135965,midget
4.082284288158623,2.377681366369208,midget
4.93767961275073,2.9881511828888536,midget
5.882288198043639,2.576766591315838,midget
8.30224792993137,3.1338504544337686,midget
8.308343159050189,3.986766729959567,midget
8.913959864330597,4.198269501532254,midget
9.42978553121448,4.329966899248452,midget
9.492276081710996,3.7789190569568873,midget
10.54900899504233,4.105012527787364,midget
11.239498417797549,4.414508405198051,midget
11.719643122215956,4.016133108989749,midget
11.96448976545106,3.541449142222441,midget
11.087399308340771,5.0585616852524025,midget
11.81124472614522,5.16259752209869,midget
11.817653419807474,6.167921734238901,midget
13.689062763104545,5.376102732501824,midget
14.581362970697468,5.317075067042529,midget
13.136194029480126,7.209465227069722,midget
16.10052973072913,6.973700931610477,midget
17.508315614463974,6.081930629386576,midget
17.023528528952916,6.083483352467013,midget
18.648377739380148,5.890552591928944,midget
19.05438829910144,6.8905330487087,midget
17.51837447356056,7.342726913201615,midget
16.33546739290244,8.073140072286868,midget
12.43586125913282,11.312898826537632,midget
13.43547722860938,11.66554462263784,midget
13.911432657746396,10.6134965989401,midget
16.812458241206336,10.16082226151848,midget
17.050165960603778,10.159525475683264,midget
16.823727702461998,12.65845652613335,midget
18.893043815743905,13.394384360206866,midget
19.35958976844832,12.642310310493349,midget
20.04988633306127,12.376481922573095,midget
21.355444018936755,11.987035385723836,midget
21.20132022555372,11.140949427371655,midget
22.271288857724432,11.491168173214342,midget
21.3479496994566,10.683490622388426,midget
20.899735714748964,10.140740668871713,midget
26.53700393294312,10.551365483586864,midget
30.323345385783924,10.538579441762865,midget
33.21868566140186,10.311720100663294,midget
33.937587590879744,11.56768846928911,midget
30.55547961805871,12.856288245741652,midget
25.09979569843717,12.351233110962566,midget
21.21891661412413,14.625164026286104,midget
21.678817363020965,16.57912256134729,midget
22.4518096283299,16.230515280290664,midget
22.77215724115341,16.92225329263641,midget
23.58864990219952,17.640095357009795,midget
24.41882943434669,14.91547519930822,midget
23.578867095047524,15.39613310631583,midget
23.90842888792039,14.609305923437066,midget
27.118225842423858,12.870243483747217,midget
28.28933494478542,13.556485486149889,midget
29.71796319426901,14.129748109887624,midget
29.103300334086263,14.89169760957408,midget
27.126014691187574,14.141475329489916,midget
26.197945362833245,15.543229316394315,midget
27.13380577705064,15.538270487820414,midget
27.910070069341696,16.198437699567677,midget
27.139867057547587,16.7193726349949,midget
29.116304257757548,17.24164936417584,midget
28.5122660070016,17.79499788590314,midget
27.725444866921794,18.36727752462833,midget
26.76576203844552,17.619843673033042,midget
26.77259536473859,19.158640113416773,midget
26.78113947593785,21.27247221782829,midget
24.44689565479472,21.74046969873211,midget
32.33704986402112,15.192146325544408,midget
31.669226388521885,16.17984110841724,midget
33.49862819188982,16.171582811270635,midget
35.18920599576034,16.6799408724373,midget
35.94387076536922,17.57268011395704,midget
36.426493452695794,13.956783576704971,midget
39.33819649207656,12.5610859938903,midget
41.91576806296823,13.793856612023426,midget
45.22582433273598,9.261009976327028,midget
48.03105552627091,10.943293017643382,midget
58.68415130160988,11.877383167797465,midget
58.736605470373554,15.921719445991531,midget
54.36132602522633,14.963144336506344,midget
49.612110856067886,14.212043327299334,midget
46.25473278648751,14.82910674080739,midget
62.59521216815818,18.42362681982056,midget
63.95190654973332,20.885069495380908,midget
72.58863022899777,23.162761364793024,midget
68.65951900265979,27.39916408743363,midget
70.88341096410318,30.096815847978466,midget
61.0506833790125,50.860761796506935,midget
54.210625852209255,60.19761429160041,midget
52.5039609024108,52.83082495431581,midget
49.45879232787584,51.494358461924136,midget
43.28033049452194,50.48886266663584,midget
41.7822340641225,48.434280269490216,midget
37.85315195579507,41.4343888910777,midget
48.4064698352853,44.48444721844514,midget
51.20761545006373,45.87989978178693,midget
54.53854257449947,43.51574057450945,midget
52.6574771808733,43.52962803373113,midget
28.151562738759303,27.334544597446843,midget
33.21073691080837,30.1467952864247,midget
67.55878446016918,43.20444140297285,midget
73.22137802938909,39.91348991947953,midget
71.18486787175269,38.28681592536044,midget
67.28663763353931,36.35334104942007,midget
65.43606710448073,38.71927028607548,midget
63.13681900904722,31.08950741382573,midget
60.507661843446336,27.145063518491163,midget
56.00760475013525,26.60143559105249,midget
55.60161959573817,24.46640506263891,midget
63.98048151208665,24.18079218545867,midget
60.276419401318165,24.448455834770535,midget
60.478708092869255,23.201225958912325,midget
60.88532440721573,20.89440135281528,midget
58.37227108889452,20.684779543913717,midget
56.36437347423375,21.351355882222613,midget
53.65391937127622,20.378184444805967,midget
52.92024557298014,22.276974740439552,midget
51.10396397247944,23.60446147313885,midget
49.34057195142438,23.48875561753273,midget
48.626297907992615,19.662777037161263,midget
48.95947545450616,18.464823802190104,midget
46.452188588663496,18.96340650763757,midget
44.37528492832454,18.28891136253397,midget
41.95323400092709,18.49076618579771,midget
40.08131777529705,18.401888416746075,midget
42.82562075422975,15.801264114353517,midget
40.05446909670851,14.77102023401006,midget
38.13623571389014,15.090205640126625,midget
38.54545946879356,15.816397221135563,midget
40.49073608861969,16.31358992761417,midget
41.942526031338325,17.005612489176652,midget
46.62667659047995,20.51126574541465,midget
44.38661398373604,19.8861395914219,midget
40.520463015077766,20.75353579096264,midget
38.70753504342257,19.80698031695198,midget
36.85145533995471,19.81583046306064,midget
33.160968029138296,18.43362334289444,midget
31.46425193528782,19.23091238005604,midget
30.48390246835448,18.837963513179098,midget
29.95788733603709,19.74955063429484,midget
60.15729060745982,40.40555375950064,midget
58.081504738430056,40.20749123753618,midget
58.88297515489398,36.01849773067752,midget
61.830946951085146,32.766015334224214,midget
59.26562384172563,30.14583336111822,midget
56.82123702619352,30.157378490824165,midget
54.86144020091167,30.16700280971416,midget
54.49244554633013,32.975787209696215,midget
56.05766651786048,35.65941995452968,midget
51.54696485186039,40.041051502439785,midget
50.48402981811061,43.092919691856856,midget
48.40029190767274,42.660592599822685,midget
49.40358761034769,35.70040574969982,midget
48.0433179036372,37.62795851818735,midget
54.50635752314558,35.855666561565485,midget
51.53709706173973,37.60395310365632,midget
52.618846206912295,34.21703697126639,midget
50.08770817283998,32.48701164763387,midget
46.38331636441536,36.86027547027248,midget
47.69506387770853,34.607939546533416,midget
44.62376950900033,36.10940682022081,midget
40.587752192687226,35.764255084945994,midget
44.76638491766801,32.52020022311365,midget
30.51212374402129,25.51810850814378,midget
31.37902936183882,24.98313651032903,midget
32.6116437340362,24.329389136989818,midget
31.926941222006665,23.093390970293346,midget
31.473791179544573,21.24127152514593,midget
32.368019539932305,20.79596087603152,midget
33.05796178434253,21.010731556035957,midget
34.47237815697392,19.51900078582972,midget
35.21054636113191,20.34959402985065,midget
